REF_AREA,INDICATOR,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,OBS_STATUS,EXTRACTION_METHOD,SOURCE,REF_AREA_LABEL,INDICATOR_LABEL,DATA_DATE
NE-4,GROUNDNUT_PROD_T,2024/2025,244647.0,t,A,pdfplumber,bulletin_3T25.pdf,MARADI,Arachide / Production,2026-09-14
NE-5,GROUNDNUT_PROD_T,2024/2025,45025.0,t,A,pdfplumber,bulletin_3T25.pdf,TAHOUA,Arachide / Production,2026-09-14
NE-6,GROUNDNUT_PROD_T,2024/2025,16612.0,t,A,pdfplumber,bulletin_3T25.pdf,TILLABERY,Arachide / Production,2026-09-14
NE-7,GROUNDNUT_PROD_T,2024/2025,303483.0,t,A,pdfplumber,bulletin_3T25.pdf,ZINDER,Arachide / Production,2026-09-14
_T,GROUNDNUT_PROD_T,2024/2025,672757.0,t,A,pdfplumber,bulletin_3T25.pdf,ENSEMBLE,Arachide / Production,2026-09-14
NE-2,SESAME_AREA_HA,2024/2025,36489.0,ha,A,pdfplumber,bulletin_3T25.pdf,DIFFA,Sésame / Superficie,2026-09-14
NE-3,SESAME_AREA_HA,2024/2025,5732.0,ha,A,pdfplumber,bulletin_3T25.pdf,DOSSO,Sésame / Superficie,2026-09-14
NE-4,SESAME_AREA_HA,2024/2025,48384.0,ha,A,pdfplumber,bulletin_3T25.pdf,MARADI,Sésame / Superficie,2026-09-14
NE-5,SESAME_AREA_HA,2024/2025,4295.0,ha,A,pdfplumber,bulletin_3T25.pdf,TAHOUA,Sésame / Superficie,2026-09-14
NE-6,SESAME_AREA_HA,2024/2025,11059.0,ha,A,pdfplumber,bulletin_3T25.pdf,TILLABERY,Sésame / Superficie,2026-09-14
NE-7,SESAME_AREA_HA,2024/2025,142916.0,ha,A,pdfplumber,bulletin_3T25.pdf,ZINDER,Sésame / Superficie,2026-09-14
NE-8,SESAME_AREA_HA,2024/2025,86.0,ha,A,pdfplumber,bulletin_3T25.pdf,NIAMEY.,Sésame / Superficie,2026-09-14
_T,SESAME_AREA_HA,2024/2025,248961.0,ha,A,pdfplumber,bulletin_3T25.pdf,ENSEMBLE,Sésame / Superficie,2026-09-14
NE-2,SESAME_YIELD_KG_HA,2024/2025,609.0,kg/ha,A,pdfplumber,bulletin_3T25.pdf,DIFFA,Sésame / Rendement,2026-09-14
NE-3,SESAME_YIELD_KG_HA,2024/2025,635.0,kg/ha,A,pdfplumber,bulletin_3T25.pdf,DOSSO,Sésame / Rendement,2026-09-14
NE-4,SESAME_YIELD_KG_HA,2024/2025,594.0,kg/ha,A,pdfplumber,bulletin_3T25.pdf,MARADI,Sésame / Rendement,2026-09-14
NE-5,SESAME_YIELD_KG_HA,2024/2025,575.0,kg/ha,A,pdfplumber,bulletin_3T25.pdf,TAHOUA,Sésame / Rendement,2026-09-14
NE-6,SESAME_YIELD_KG_HA,2024/2025,454.0,kg/ha,A,pdfplumber,bulletin_3T25.pdf,TILLABERY,Sésame / Rendement,2026-09-14
